Date, Open, High, Low, Close, Volume
07/16/12, 13095, 13190, 13000, 13000, 33
07/13/12, 13100, 13100, 13100, 13100, 11
07/12/12, 13130, 13150, 13000, 13000, 98
07/11/12, 13000, 13140, 12995, 13130, 735
07/10/12, 12995, 13000, 12995, 13000, 25
07/09/12, 12900, 12995, 12850, 12950, 43
07/06/12, 13000, 13000, 13000, 13000, 76
07/05/12, 12995, 13000, 12995, 13000, 66
07/04/12, 12985, 12995, 12985, 12995, 60
07/03/12, 12990, 12995, 12985, 12985, 30
07/02/12, 12900, 12900, 12000, 12705, 486
06/29/12, 12820, 13000, 12820, 13000, 218
06/28/12, 12805, 12990, 12805, 12805, 88
06/27/12, 12955, 12955, 12800, 12800, 57
06/26/12, 12955, 12955, 12955, 12955, 2
06/25/12, 12800, 12990, 12745, 12990, 37
06/22/12, 12805, 12900, 12800, 12900, 81
06/21/12, 12995, 12995, 12900, 12900, 75
06/20/12, 12900, 12950, 12900, 12950, 126
06/19/12, 12905, 12905, 12900, 12900, 151
06/18/12, 12960, 12960, 12850, 12960, 124
06/15/12, 13000, 13000, 12960, 12960, 280
06/14/12, 12905, 13000, 12905, 13000, 131
06/13/12, 12990, 13000, 12990, 13000, 82
06/12/12, 12800, 12995, 12800, 12995, 215
06/11/12, 12800, 12850, 12800, 12810, 45
06/08/12, 12990, 12990, 12850, 12850, 16
06/07/12, 12800, 12850, 12800, 12850, 112
06/06/12, 12700, 12800, 12700, 12800, 57
06/05/12, 12700, 12800, 12700, 12800, 149
06/04/12, 12750, 12750, 12750, 12750, 12
06/01/12, 12800, 12800, 12750, 12750, 28
05/31/12, 12750, 13000, 12750, 12800, 2961
05/30/12, 13000, 13000, 12600, 12780, 701
05/29/12, 13080, 13080, 12790, 12790, 5
05/25/12, 12995, 13000, 12740, 12740, 159
05/24/12, 12710, 13000, 12710, 13000, 16
05/23/12, 13000, 13000, 12850, 13000, 855
05/22/12, 12820, 13100, 12800, 13100, 915
05/21/12, 13000, 13100, 13000, 13000, 261
05/18/12, 12800, 13050, 12800, 12825, 68
05/17/12, 12850, 13045, 12800, 13045, 177
05/16/12, 13000, 13095, 12995, 12995, 24
05/15/12, 12905, 13150, 12700, 13150, 57
05/11/12, 13200, 13295, 13200, 13295, 18
05/10/12, 12850, 13000, 12500, 13000, 35
05/08/12, 13000, 13000, 12845, 12850, 362
05/07/12, 12845, 12845, 12845, 12845, 50
05/04/12, 13000, 13000, 12950, 12950, 144
05/03/12, 13250, 13250, 13000, 13000, 214
05/02/12, 13250, 13250, 12950, 12950, 143
04/27/12, 13250, 13250, 13250, 13250, 2
04/26/12, 13200, 13450, 13005, 13450, 3952
04/25/12, 13250, 13250, 13250, 13250, 30
04/24/12, 13210, 13400, 13000, 13200, 600
04/23/12, 13210, 13210, 13200, 13200, 17
04/20/12, 13225, 13400, 13200, 13400, 74
04/19/12, 13455, 13475, 13400, 13400, 447
04/17/12, 13300, 13475, 13300, 13475, 131
04/16/12, 13300, 13300, 13300, 13300, 1
04/13/12, 13250, 13475, 13250, 13350, 130
04/12/12, 13480, 13490, 13300, 13300, 440
04/11/12, 13395, 13500, 13395, 13400, 272
04/05/12, 13475, 13475, 13475, 13475, 12
04/04/12, 13210, 13400, 13205, 13400, 69
04/02/12, 13500, 13500, 13490, 13490, 2
03/29/12, 13250, 13250, 13250, 13250, 10
03/28/12, 13300, 13300, 13250, 13250, 13
03/27/12, 13495, 13495, 13350, 13350, 66
03/26/12, 13300, 13300, 13300, 13300, 40
03/23/12, 13400, 13500, 13350, 13350, 174
03/22/12, 13490, 13490, 13490, 13490, 2
03/21/12, 13350, 13350, 13350, 13350, 20
03/20/12, 13400, 13400, 13400, 13400, 4
03/19/12, 13225, 13300, 13225, 13300, 12
03/14/12, 13385, 13400, 13050, 13050, 116
03/13/12, 13400, 13500, 13390, 13500, 21
03/12/12, 13385, 13500, 13385, 13500, 20
03/09/12, 13350, 13580, 13300, 13400, 704
03/08/12, 13500, 13500, 13450, 13450, 38
03/07/12, 13520, 13580, 13520, 13580, 240
03/06/12, 13610, 13610, 13340, 13530, 248
03/05/12, 13600, 13715, 13600, 13600, 324
03/01/12, 13700, 13715, 13520, 13520, 21
02/29/12, 13515, 13515, 13515, 13515, 8
02/28/12, 13515, 13515, 13515, 13515, 1
02/27/12, 13400, 13745, 13400, 13700, 408
02/24/12, 13100, 13395, 13100, 13395, 38
02/23/12, 13260, 13260, 13200, 13200, 70
02/21/12, 13385, 13400, 13160, 13350, 126
02/20/12, 13020, 13200, 13020, 13100, 483
02/16/12, 12810, 13040, 12800, 13020, 125
02/15/12, 12810, 12995, 12810, 12850, 26
02/14/12, 13000, 13000, 13000, 13000, 43
02/13/12, 12850, 13095, 12800, 13000, 122
02/10/12, 13000, 13000, 12800, 12850, 150
02/08/12, 13195, 13200, 13050, 13195, 290
02/07/12, 12970, 13300, 12970, 13200, 521
02/06/12, 12580, 13500, 12580, 13000, 6291
02/03/12, 12600, 12600, 12520, 12520, 121
02/02/12, 12550, 12695, 12485, 12695, 692
01/31/12, 12550, 12550, 12505, 12505, 22
01/30/12, 12505, 12505, 12500, 12500, 34
01/27/12, 12505, 12695, 12505, 12600, 38
01/26/12, 12520, 12600, 12420, 12600, 753
01/25/12, 12530, 12530, 12415, 12500, 192
01/24/12, 12670, 12675, 12530, 12530, 70
01/23/12, 12600, 12665, 12515, 12515, 164
01/20/12, 12600, 12720, 12515, 12600, 204
01/19/12, 12650, 12800, 12525, 12550, 711
01/18/12, 12600, 12690, 12500, 12500, 366
01/17/12, 12550, 12550, 12550, 12550, 3
01/16/12, 12595, 12600, 12310, 12600, 77
01/13/12, 12700, 12700, 12600, 12690, 125
01/12/12, 12745, 12750, 12700, 12700, 68
01/11/12, 12695, 12695, 12695, 12695, 38
01/10/12, 12650, 12650, 12400, 12400, 20
01/09/12, 12400, 12695, 12310, 12550, 78
01/06/12, 12900, 12900, 12390, 12500, 193
01/05/12, 12610, 12935, 12260, 12935, 198
01/04/12, 13095, 13100, 12990, 12995, 85
01/03/12, 12650, 12665, 12650, 12665, 35
01/02/12, 13000, 13100, 12560, 12560, 15
12/30/11, 13100, 13100, 13100, 13100, 1
12/29/11, 12960, 13200, 12700, 13200, 66
12/28/11, 13000, 13300, 13000, 13280, 1985
12/27/11, 12950, 13100, 12950, 13000, 517
12/23/11, 12495, 12950, 12495, 12950, 1026
12/22/11, 12430, 12490, 12305, 12335, 52
12/21/11, 12460, 12475, 12430, 12430, 78
12/20/11, 12400, 12460, 12300, 12460, 281
12/19/11, 12225, 12450, 12225, 12275, 9521
12/16/11, 12410, 12450, 12400, 12450, 180
12/15/11, 12150, 12150, 12040, 12040, 30
12/13/11, 12400, 12450, 12400, 12450, 86
12/12/11, 12495, 12495, 12100, 12450, 391
